Sr.No,No_of_Bed,No_of_Bathroom,Area,Pets_allowed
566,3.0,2.5,1974.0,No
567,4.0,2.0,1290.0,No
568,3.0,3.0,2813.0,No
569,2.0,2.0,970.0,No
570,3.0,2.0,1601.0,No
571,4.0,3.5,2273.0,No
572,2.0,1.0,910.0,No
573,4.0,3.0,2980.0,No
574,3.0,2.0,1544.0,No
575,4.0,2.0,1750.0,No
576,3.0,1.0,1492.0,No
577,3.0,2.0,1800.0,No
578,4.0,2.5,2890.0,No
579,3.0,2.0,1070.0,No
580,3.0,2.5,2828.0,No
581,5.0,4.0,3602.0,Yes
582,4.0,2.5,2567.0,No
583,3.0,2.0,1307.0,No
584,3.0,3.0,1625.0,No
585,3.0,2.5,3072.0,No
586,4.0,3.0,,Yes
587,4.0,2.0,1650.0,No
588,4.0,2.0,2257.0,No
589,3.0,2.0,2056.0,No
590,1.0,,1900.0,No
591,1.0,1.0,1.0,Yes
592,1.0,1.0,,Yes
593,2.0,2.0,1032.0,No
594,2.0,2.5,1779.0,No
595,1.0,1.0,861.0,No
596,2.0,2.0,1838.0,Yes
597,2.0,2.5,1635.0,No
598,3.0,2.5,1941.0,No
599,2.0,2.5,1912.0,No
600,2.0,2.0,1205.0,No
601,3.0,3.0,2200.0,No
602,1.0,1.0,170.0,No
603,4.0,6.0,2500.0,Yes
604,2.0,2.5,1221.0,No
605,1.0,1.0,667.0,No
606,2.0,2.0,882.0,No
607,3.0,2.0,2339.0,No
608,3495.0,3.0,2037.0,Yes
609,2.0,2.5,1774.0,No
610,4.0,3.0,2673.0,No
611,3.0,2.0,2064.0,No
612,4.0,3.0,,No
613,2.0,2.0,1100.0,No
614,4.0,3.0,1913.0,No
615,3.0,2.0,1827.0,No
616,1.0,1.0,646.0,No
617,3.0,2.0,1794.0,No
618,2.0,2.0,1175.0,No
619,4.0,2.0,2131.0,Yes
620,2.0,2.0,860.0,No
621,2.0,,1664.0,No
622,3.0,2.0,,No
623,4.0,2.5,2713.0,No
624,4.0,,2400.0,Yes
625,4.0,3.0,,Yes
626,3.0,3.0,2690.0,No
627,4.0,4.5,4098.0,No
628,2.0,3.0,1050.0,Yes
629,3.0,2.5,1883.0,No
630,1.0,1.0,,No
631,2.0,2.0,1229.0,No
632,6.0,2.5,2570.0,Yes
633,2.0,2.0,,Yes
634,2.0,2.0,849.0,No
635,3.0,2.5,1878.0,No
636,3.0,2.0,1643.0,No
637,3.0,2.0,2072.0,No
638,1.0,1.0,1640.0,No
639,5.0,3.5,3376.0,Yes
640,1.0,1.0,700.0,No
641,3.0,2.0,1700.0,Yes
642,2.0,1.0,1200.0,No
643,4.0,3.0,2582.0,No
644,1.0,1.0,,Yes
645,2.0,2.5,2041.0,No
646,1.0,1.0,,Yes
647,1.0,2.0,857.0,Yes
648,4.0,2.0,1428.0,No
649,5.0,4.5,3600.0,No
650,4.0,3.0,1844.0,No
651,2.0,1.0,838.0,No
652,1.0,,650.0,Yes
653,3.0,2.0,1658.0,No
654,3.0,2.0,1148.0,No
655,3.0,3.5,3086.0,No
656,5.0,3.0,,Yes
657,2.0,2.5,1009.0,No
658,3.0,2.5,1921.0,No
659,2.0,2.5,1979.0,No
660,3.0,2.0,1465.0,No
661,1.0,1.0,,Yes
662,1.0,1.0,,No
663,3.0,2.0,1673.0,No
664,4.0,4.5,5099.0,No
665,1.0,4.0,,Yes
666,3.0,2.5,1610.0,No
667,5.0,4.5,3558.0,No
668,2.0,2.0,1118.0,Yes
669,1.0,1.5,1226.0,No
670,2.0,2.0,969.0,No
671,5.0,2.0,1947.0,Yes
672,5.0,3.0,2597.0,No
673,3.0,3.5,1968.0,No
674,2.0,2.5,1861.0,No
675,2.0,2.0,1543.0,No
676,5.0,3.0,,Yes
677,4.0,3.0,2600.0,No
678,2.0,2.0,1118.0,No
679,1.0,1.0,807.0,No
680,1.0,1.0,700.0,No
681,5.0,4.5,3422.0,No
682,1.0,1.0,678.0,No
683,2.0,2.0,1401.0,Yes
684,3.0,2.5,1611.0,Yes
685,4.0,3.0,,Yes
686,4.0,2.0,2054.0,No
687,4.0,2.0,1830.0,No
688,3.0,3.5,2781.0,No
689,2.0,2.0,1116.0,No
690,3.0,3.0,2142.0,No
691,3.0,2.5,1803.0,No
692,1.0,1.0,,Yes
693,2.0,2.0,,No
694,3.0,2.5,2159.0,No
695,3.0,2.0,1484.0,No
696,1.0,1.0,,Yes
697,3.0,2.0,1974.0,No
698,3.0,2.0,1011.0,No
699,1.0,1.0,1114.0,No
700,3.0,1.5,1388.0,No
701,3.0,2.0,1623.0,No
